Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
United States Election Assistance Commission,Using AI-assisted tools in word processors.,Y,"Grammarly, Copilot",1-100
United States Election Assistance Commission,Generating code using AI.,Y,"ChatGPT, Claude, Copilot, Perplexity",1-100
United States Election Assistance Commission,Searching for agency information using a knowledge retrieval system.,Y,Copilot,1-100
United States Election Assistance Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
United States Election Assistance Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Crowdstrike Falcon, Microsoft Defender, Copilot",1-100
United States Election Assistance Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
United States Election Assistance Commission,Curating news articles and updates based on user preferences using AI.,Y,"ChatGPT, Claude, Copilot, Perplexity",1-100
United States Election Assistance Commission,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps",1-100
United States Election Assistance Commission,Finding and booking travel accommodations using AI-powered platforms.,Y,SAP Concur,1-100
United States Election Assistance Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,1-100
United States International Trade Commission,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
United States International Trade Commission,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
United States International Trade Commission,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"M365 Copilot, Teams",1-100
United States International Trade Commission,Prioritizing and categorizing incoming emails using AI.,Y,M365 Copilot,1-100
United States International Trade Commission,"Editing images, videos, or other public affairs materials using AI.",Y,M365 Copilot,1-100
United States International Trade Commission,Scheduling and managing social media posts using AI.,N,,
United States International Trade Commission,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,M365 Copilot,1-100
United States International Trade Commission,Improving the quality of written communications using AI tools.,Y,M365 Copilot,1-100
United States International Trade Commission,Summarizing the key points of a lengthy report using AI.,Y,M365 Copilot,1-100
United States International Trade Commission,Creating visual representations of data sets for reports or presentations using AI.,Y,M365 Copilot,1-100
United States International Trade Commission,Using AI-assisted tools in word processors.,Y,M365 Copilot,1-100
United States International Trade Commission,Generating code using AI.,Y,M365 Copilot,1-100
United States International Trade Commission,Searching for agency information using a knowledge retrieval system.,Y,M365 Copilot,1-100
United States International Trade Commission,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
United States International Trade Commission,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
United States International Trade Commission,Managing and prioritizing internal service or help desk tickets using AI.,N,,
United States International Trade Commission,Curating news articles and updates based on user preferences using AI.,Y,Meltwater,1-100
United States International Trade Commission,Planning travel routes using AI-driven map applications.,N,,
United States International Trade Commission,Finding and booking travel accommodations using AI-powered platforms.,Y,SAP Concur,1-100
United States International Trade Commission,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
United States Office of Special Counsel,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
United States Office of Special Counsel,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
United States Office of Special Counsel,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Copilot,101-1000
United States Office of Special Counsel,Prioritizing and categorizing incoming emails using AI.,N,,
United States Office of Special Counsel,"Editing images, videos, or other public affairs materials using AI.",N,,
United States Office of Special Counsel,Scheduling and managing social media posts using AI.,N,,
United States Office of Special Counsel,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,101-1000
United States Office of Special Counsel,Improving the quality of written communications using AI tools.,Y,Microsoft Copilot,101-1000
United States Office of Special Counsel,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Copilot,101-1000
United States Office of Special Counsel,Creating visual representations of data sets for reports or presentations using AI.,N,,
United States Office of Special Counsel,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,101-1000
United States Office of Special Counsel,Generating code using AI.,N,,
United States Office of Special Counsel,Searching for agency information using a knowledge retrieval system.,N,,
United States Office of Special Counsel,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
United States Office of Special Counsel,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
United States Office of Special Counsel,Managing and prioritizing internal service or help desk tickets using AI.,N,,
United States Office of Special Counsel,Curating news articles and updates based on user preferences using AI.,N,,
United States Office of Special Counsel,Planning travel routes using AI-driven map applications.,N,,
United States Office of Special Counsel,Finding and booking travel accommodations using AI-powered platforms.,N,,
United States Office of Special Counsel,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,1-100
United States Trade and Development Agency,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
United States Trade and Development Agency,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
United States Trade and Development Agency,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
United States Trade and Development Agency,Prioritizing and categorizing incoming emails using AI.,N,,
United States Trade and Development Agency,"Editing images, videos, or other public affairs materials using AI.",N,,
United States Trade and Development Agency,Scheduling and managing social media posts using AI.,N,,
United States Trade and Development Agency,"Generating first drafts of documents, briefing, or communication materials using AI.",N,,
United States Trade and Development Agency,Improving the quality of written communications using AI tools.,N,,
United States Trade and Development Agency,Summarizing the key points of a lengthy report using AI.,N,,
United States Trade and Development Agency,Creating visual representations of data sets for reports or presentations using AI.,N,,
United States Trade and Development Agency,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,101-1000
United States Trade and Development Agency,Generating code using AI.,N,,
United States Trade and Development Agency,Searching for agency information using a knowledge retrieval system.,N,,
United States Trade and Development Agency,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
United States Trade and Development Agency,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Crowdstrike Falcon Threat Detection and Response, Qualys Cloud Detection and Response",101-1000
United States Trade and Development Agency,Managing and prioritizing internal service or help desk tickets using AI.,N,,
United States Trade and Development Agency,Curating news articles and updates based on user preferences using AI.,N,,
United States Trade and Development Agency,Planning travel routes using AI-driven map applications.,N,,
United States Trade and Development Agency,Finding and booking travel accommodations using AI-powered platforms.,N,,
United States Trade and Development Agency,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,"Apple iPhone, Lookout for mobile security",1-100
