Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Department of Health and Human Services,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Crowdstrike, Purvue, Microsoft Defender, Absolute, ChatGPT, Cylance, BigFix, Ivanti, Palo Alto Firewall, SentinelOne","50,000+"
Department of Health and Human Services,Managing and prioritizing internal service or help desk tickets using AI.,Y,"ServiceDesk, DRUID AI, Supportbench, ServiceDesk Plus",101-1000
Department of Health and Human Services,Curating news articles and updates based on user preferences using AI.,Y,"Apple News, MediaViz AI, Google News Brief","5001-10,000"
Department of Health and Human Services,Planning travel routes using AI-driven map applications.,Y,"Google Maps, Apple Maps","10,000-50,000"
Department of Health and Human Services,Finding and booking travel accommodations using AI-powered platforms.,Y,"SAP Concur, Navan",1-100
Department of Health and Human Services,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,"Apple iPhone, Windows Hello, Google Pixel","10,000-50,000"
Department of Homeland Security,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of Homeland Security,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of Homeland Security,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Dragon Professional,101-1000
Department of Homeland Security,Prioritizing and categorizing incoming emails using AI.,Y,M365 Copilot,101-1000
Department of Homeland Security,"Editing images, videos, or other public affairs materials using AI.",Y,Flow aka Veo 3; Firefly,101-1000
Department of Homeland Security,Scheduling and managing social media posts using AI.,N,,
Department of Homeland Security,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot","10,000-50,000"
Department of Homeland Security,Improving the quality of written communications using AI tools.,Y,"OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot","10,000-50,000"
Department of Homeland Security,Summarizing the key points of a lengthy report using AI.,Y,"OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot","10,000-50,000"
Department of Homeland Security,Creating visual representations of data sets for reports or presentations using AI.,Y,"Azure Synapse Analytics, Copilot","5001-10,000"
Department of Homeland Security,Using AI-assisted tools in word processors.,Y,"Adobe Premiere Spech to Text, Copilot","5001-10,000"
Department of Homeland Security,Generating code using AI.,Y,"Poolside, Copilot, Ask Hamilton, Github Copilot, AI Foundry, Powerautomate AI Builder, CamoGPT, NIPRGPT",1001-5000
Department of Homeland Security,Searching for agency information using a knowledge retrieval system.,Y,"RelativityOne, ServiceNow, Einstein, Vertex AI, Copilot, ","50,000+"
Department of Homeland Security,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Homeland Security,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Andesite, Microsoft Security Copilot",101-1000
Department of Homeland Security,Managing and prioritizing internal service or help desk tickets using AI.,Y,Sprinklr,1-100
Department of Homeland Security,Curating news articles and updates based on user preferences using AI.,N,,
Department of Homeland Security,Planning travel routes using AI-driven map applications.,N,,
Department of Homeland Security,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Homeland Security,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Department of Housing and Urban Development,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of Housing and Urban Development,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of Housing and Urban Development,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft Copilot,1-100
Department of Housing and Urban Development,Prioritizing and categorizing incoming emails using AI.,N,,
Department of Housing and Urban Development,"Editing images, videos, or other public affairs materials using AI.",N,,
Department of Housing and Urban Development,Scheduling and managing social media posts using AI.,N,,
Department of Housing and Urban Development,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,1-100
Department of Housing and Urban Development,Improving the quality of written communications using AI tools.,Y,Microsoft Copilot,1-100
Department of Housing and Urban Development,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Copilot,1-100
Department of Housing and Urban Development,Creating visual representations of data sets for reports or presentations using AI.,Y,Microsoft Copilot,1-100
Department of Housing and Urban Development,Using AI-assisted tools in word processors.,Y,Microsoft Copilot,1-100
Department of Housing and Urban Development,Generating code using AI.,N,,
Department of Housing and Urban Development,Searching for agency information using a knowledge retrieval system.,Y,Microsoft Copilot,1-100
Department of Housing and Urban Development,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of Housing and Urban Development,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Department of Housing and Urban Development,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Department of Housing and Urban Development,Curating news articles and updates based on user preferences using AI.,N,,
Department of Housing and Urban Development,Planning travel routes using AI-driven map applications.,N,,
Department of Housing and Urban Development,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of Housing and Urban Development,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,1001-5000
Department of State,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of State,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of State,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,"Microsoft Teams, Zoom","50,000+"
Department of State,Prioritizing and categorizing incoming emails using AI.,N,,
Department of State,"Editing images, videos, or other public affairs materials using AI.",Y,"HeyGen, ChatGPT","5001-10,000"
Department of State,Scheduling and managing social media posts using AI.,N,,
Department of State,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"ChatGPT, Gemini, Claude, Grammarly","5001-10,000"
Department of State,Improving the quality of written communications using AI tools.,Y,"Grammarly, ChatGPT, Gemini, Claude, NotebookLM","5001-10,000"
Department of State,Summarizing the key points of a lengthy report using AI.,Y,"ChatGPT, Gemini, Claude, Grammarly, Perplexity, NotebookLM","5001-10,000"
Department of State,Creating visual representations of data sets for reports or presentations using AI.,Y,"NotebookLM, HeyGen",1-100
Department of State,Using AI-assisted tools in word processors.,Y,Grammarly,101-1000
Department of State,Generating code using AI.,Y,"ChatGPT, Claude",1001-5000
Department of State,Searching for agency information using a knowledge retrieval system.,Y,"ChatGPT, Claude","5001-10,000"
Department of State,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of State,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Y,"Microsoft Defender, US AI Archangel, CRIBL, DATABRICKS, SimpleChat, SplunkCloud, Microsoft Purview, ServiceNow Now Assist, Dark Trace",1001-5000
